,accommodates,availability_30,host_total_listings_count,bathrooms,bedrooms,beds,extra_people,guests_included,hos1_iden1i1y_veri0ied,ins1an1_bookable,is_loca1ion_exac1,number_of_reviews,price,host_is_superhost
7758,4,24,2,1,2,3,150,3,1,0,1,2,798,0
7759,2,29,161,1,0,1,0,1,0,0,0,0,548,0
7760,4,29,161,1,2,2,0,1,0,0,0,0,1377,0
7761,4,8,5,1,1,2,100,3,1,1,1,24,477,0
7762,7,11,38,1,2,6,200,6,0,1,0,40,1502,0
7763,2,30,161,1,0,1,0,1,0,0,0,0,501,0
7764,4,29,2,1,0,1,0,1,0,0,1,0,649,0
7765,4,8,5,1,1,2,100,3,1,1,0,21,454,0
7766,4,5,5,1,1,2,100,3,1,1,0,26,579,0
7767,6,10,6,2,3,3,150,3,0,1,1,27,1001,1
7768,2,1,6,1,1,1,200,1,0,1,1,6,454,1
7769,2,30,2,1,0,2,0,1,0,0,1,1,399,0
7770,2,12,1,1,1,1,0,1,0,1,1,4,798,0
7771,2,0,1,1.5,1,1,80,1,1,0,0,3,399,0
7772,3,29,2,1,1,3,0,1,0,1,0,0,250,0
7773,4,23,1,1,1,2,0,3,0,1,1,38,1001,0
7774,1,28,1,1,1,1,0,1,0,0,0,1,446,0
7775,7,12,7,1,2,5,50,1,0,0,0,28,853,1
7776,4,3,2,1,1,2,0,1,0,1,1,50,696,1
7777,2,29,219,1,1,1,0,1,0,0,1,0,266,0
7778,2,30,25,1,1,1,0,1,0,0,1,8,548,0
7779,2,0,8,1,0,2,0,1,0,1,0,2,407,0
7780,1,10,32,2,1,1,300,1,0,1,1,0,274,0
7781,2,0,2,1,1,1,500,2,0,1,0,2,798,0
7782,4,2,6,1,2,2,150,2,0,1,1,1,853,1
7783,2,0,1,1,0,1,0,1,1,1,1,1,923,0
7784,4,17,4,1.5,2,2,150,3,0,1,1,8,853,0
7785,2,21,2,1,1,1,0,1,0,1,0,30,297,0
7786,2,30,3,1,1,1,0,2,0,1,1,0,383,0
7787,1,11,1,1,1,1,0,1,1,0,0,5,250,0
7788,3,0,1,1,1,1,0,1,0,1,0,15,602,0
7789,2,4,14,1,0,2,0,1,0,1,1,41,477,1
7790,6,6,1,2,3,4,500,5,1,0,1,1,2504,0
7791,2,0,1,1,1,1,0,1,1,0,1,13,1001,0
7792,2,29,1,1,1,2,0,1,0,0,0,13,782,0
7793,3,0,1,1,0,2,0,1,1,0,0,0,602,0
7794,2,15,14,1,1,1,40,1,0,1,1,8,336,0
7795,5,14,14,1,1,3,98,3,0,1,1,21,462,0
7796,16,30,1,11,11,11,300,1,0,0,1,1,947,0
7797,2,0,1,1,1,1,0,1,0,0,1,3,947,0
7798,2,26,21,1,0,1,130,1,1,1,0,20,516,0
7799,2,0,1,1,0,2,0,1,0,1,0,2,798,0
7800,1,0,1,1,1,1,150,1,1,1,1,17,751,1
7801,1,29,155,1,1,1,0,1,0,1,1,3,1001,0
7802,2,30,25,1,1,1,0,1,0,0,1,4,454,0
7803,2,27,155,1,1,2,0,1,0,1,1,1,1134,0
7804,2,30,25,1,1,1,100,2,0,0,1,1,501,0
7805,2,30,25,1,1,1,0,1,0,0,1,10,548,0
7806,2,30,25,1,1,1,0,1,0,0,1,2,602,0
7807,1,0,18,2,1,1,200,1,0,0,1,5,196,0
7808,2,9,5,1,1,2,114,2,0,1,0,42,602,0
7809,7,20,19,1,2,4,150,4,0,0,1,20,1001,0
7810,2,0,2,1,1,1,0,1,0,1,1,4,368,0
7811,2,0,1,1,1,1,0,1,0,1,1,1,376,0
7812,2,3,1,1,1,1,0,1,1,1,1,12,900,0
7813,2,0,2,1,1,1,0,1,0,0,1,17,399,0
7814,4,25,6,1,2,2,0,1,0,1,1,5,399,0
7815,12,23,9,4,4,7,0,1,0,0,1,3,2277,0
7816,4,8,5,1,1,2,100,3,1,1,0,29,454,0
7817,3,11,4,1,0,2,0,3,0,1,0,55,454,0
7818,10,30,1,3,5,5,0,1,1,1,1,0,297,0
7819,2,30,8,1,0,2,100,1,0,0,0,2,548,0
7820,2,30,8,1,0,1,100,1,0,0,0,1,454,0
7821,6,0,28,1,2,3,100,4,0,1,1,29,798,0
7822,2,27,11,1,0,1,0,1,0,0,1,25,383,1
7823,4,0,1,1,1,2,0,1,0,0,1,1,994,0
7824,2,30,25,1,1,1,0,1,0,0,1,3,649,0
7825,1,30,25,1,1,1,0,1,0,0,1,2,454,0
7826,2,29,6,1,1,1,0,1,0,1,1,1,329,0
7827,2,14,10,1,1,2,0,1,0,1,0,22,344,0
7828,4,30,1,1,2,1,50,2,0,0,0,13,947,1
7829,2,0,2,1,1,1,0,1,0,1,1,20,250,0
7830,2,0,2,1,1,1,0,1,0,0,1,2,454,0
7831,3,30,8,1,0,3,100,1,0,0,0,1,501,0
7832,3,19,5,1,1,2,228,3,0,1,1,24,618,0
7833,2,27,37,1,1,1,0,1,0,0,0,0,454,1
7834,4,0,4,1,0,3,0,3,0,1,0,33,712,0
7835,4,12,4,1,0,3,0,3,0,1,0,64,681,0
7836,4,30,7,1,0,2,50,1,0,0,0,9,649,1
7837,2,0,1,1,1,1,0,1,0,0,1,1,501,0
7838,4,13,1,1,2,6,0,1,1,0,1,1,602,0
